"CRESTLINE SPECIALTY — DE-IDENTIFIED LOSS RUN DETAIL  (as of Dec 31, 2023)"
Loss dates removed; policy and claim identifiers replaced; analytical fields preserved.
Program Year,Line,Claim ID,Policy No.,Claim Type,Indemnity Paid ($),ALAE Paid ($),Paid Losses ($),Case Res. Indemnity ($),Case Res. ALAE ($),Case Reserve ($),Incurred Losses ($),Status,Notes
2021,HO,CLM-000031,POL-002633,Fire,"$89,138","$12,155","$101,293",$0,$0,$0,"$101,293",Closed,Q4 2021 reserve acceleration per claims memo
2021,HO,CLM-000032,POL-002528,Wind/Hail,"$55,828","$7,613","$63,441","$9,852","$1,344","$11,196","$74,637",Open,Partial reserve remaining
2021,HO,CLM-000033,POL-002605,Fire,"$42,223","$5,758","$47,981",$0,$0,$0,"$47,981",Closed,
2021,HO,CLM-000034,POL-002600,Wind/Hail,"$23,457","$3,199","$26,656",$0,$0,$0,"$26,656",Closed,Q4 2021 claims review
2021,HO,CLM-000035,POL-002495,Fire,"$14,074","$1,919","$15,993",$0,$0,$0,"$15,993",Closed,Q4 2021 claims review
2021,HO,CLM-000001,,Attritional,"$100,531","$13,709","$114,240",$0,$0,$0,"$114,240",Closed,Aggregate 62 claims <$25K
2021,IM,CLM-000047,POL-003950,Equipment Loss,"$25,886","$3,530","$29,416","$4,568",$623,"$5,191","$34,607",Open,Large equipment loss — crane
2021,IM,CLM-000048,POL-004070,Equipment Loss,"$20,591","$2,808","$23,399","$3,634",$495,"$4,129","$27,528",Open,
2021,IM,CLM-000049,POL-003995,Theft,"$14,535","$1,982","$16,517",$0,$0,$0,"$16,517",Closed,
2021,IM,CLM-000001,,Attritional,"$29,663","$4,045","$33,708",$0,$0,$0,"$33,708",Closed,Aggregate 11 claims <$25K
2022,DF,CLM-000011,POL-000907,Fire,"$16,787","$2,289","$19,076","$2,962",$404,"$3,366","$22,442",Open,Large commercial fire
2022,DF,CLM-000012,POL-000891,Water Damage,"$10,583","$1,443","$12,026","$1,867",$255,"$2,122","$14,148",Open,
2022,DF,CLM-000013,POL-000823,Fire,"$6,869",$937,"$7,806",$0,$0,$0,"$7,806",Closed,
2022,DF,CLM-000014,POL-000829,Fire,"$3,864",$527,"$4,391",$0,$0,$0,"$4,391",Closed,
2022,DF,CLM-000001,,Attritional,"$18,400","$2,509","$20,909",$0,$0,$0,"$20,909",Closed,Aggregate 54 claims <$25K
2022,HO,CLM-000036,POL-002922,Fire,"$49,768","$6,786","$56,554",$0,$0,$0,"$56,554",Closed,
2022,HO,CLM-000037,POL-002860,Wind/Hail,"$31,727","$4,326","$36,053","$5,599",$763,"$6,362","$42,415",Open,
2022,HO,CLM-000038,POL-002866,Fire,"$22,395","$3,054","$25,449",$0,$0,$0,"$25,449",Closed,
2022,HO,CLM-000039,POL-002929,Water Damage,"$8,709","$1,188","$9,897",$0,$0,$0,"$9,897",Closed,
2022,HO,CLM-000040,POL-003184,Wind/Hail,"$6,221",$848,"$7,069",$0,$0,$0,"$7,069",Closed,
2022,HO,CLM-000001,,Attritional,"$53,322","$7,271","$60,593",$0,$0,$0,"$60,593",Closed,Aggregate 39 claims <$25K
2022,IM,CLM-000050,POL-004272,Equipment Loss,"$29,550","$4,030","$33,580","$5,215",$711,"$5,926","$39,506",Open,
2022,IM,CLM-000051,POL-004241,Equipment Loss,"$21,199","$2,891","$24,090","$3,741",$510,"$4,251","$28,341",Open,
2022,IM,CLM-000052,POL-004283,Theft,"$15,871","$2,164","$18,035",$0,$0,$0,"$18,035",Closed,
2022,IM,CLM-000001,,Attritional,"$32,389","$4,417","$36,806",$0,$0,$0,"$36,806",Closed,Aggregate 8 claims <$25K
2023,DF,CLM-000015,POL-001122,Fire,"$12,558","$1,712","$14,270","$2,216",$302,"$2,518","$16,788",Open,
2023,DF,CLM-000016,POL-001079,Water Damage,"$8,371","$1,142","$9,513","$1,478",$201,"$1,679","$11,192",Open,
2023,DF,CLM-000017,POL-000961,Fire,"$6,279",$856,"$7,135","$1,108",$151,"$1,259","$8,394",Open,
2023,DF,CLM-000018,POL-000968,Fire,"$2,690",$367,"$3,057",$475,$65,$540,"$3,597",Open,Late reported
2023,DF,CLM-000001,,Attritional,"$15,075","$2,056","$17,131",$0,$0,$0,"$17,131",Open,Partial — AY2023 immature
2023,HO,CLM-000041,POL-003635,Wind/Hail,"$35,533","$4,845","$40,378","$6,270",$855,"$7,125","$47,503",Open,
2023,HO,CLM-000042,POL-003587,Fire,"$28,264","$3,854","$32,118","$4,988",$680,"$5,668","$37,786",Open,
2023,HO,CLM-000043,POL-003604,Wind/Hail,"$16,958","$2,313","$19,271","$2,993",$408,"$3,401","$22,672",Open,Partial development
2023,HO,CLM-000001,,Attritional,"$40,717","$5,552","$46,269",$0,$0,$0,"$46,269",Open,Partial — AY2023 immature
2023,IM,CLM-000053,POL-004401,Equipment Loss,"$29,831","$4,068","$33,899","$5,264",$718,"$5,982","$39,881",Open,
2023,IM,CLM-000054,POL-004538,Theft,"$21,602","$2,946","$24,548","$3,812",$520,"$4,332","$28,880",Open,
2023,IM,CLM-000001,,Attritional,"$25,933","$3,536","$29,469",$0,$0,$0,"$29,469",Open,Partial — AY2023 immature
