CRESTLINE SPECIALTY INSURANCE MANAGERS — DE-IDENTIFIED POLICY BORDEREAUX
Names and transaction-level dates removed; policy identifiers replaced; analytical fields preserved.
Program Year,Policy No.,Program,Line,State,TIV ($),Written Prem ($),Collected Prem ($),Earned Prem ($),Unearned Prem ($),Deductible ($)
2018,POL-000106,Crestline Dwelling Fire Program,DF,CA,"$570,000","$1,205","$1,205","$1,205",$0,"$5,000"
2018,POL-000107,Crestline Dwelling Fire Program,DF,AZ,"$240,000",$852,$852,$852,$0,"$5,000"
2018,POL-000108,Crestline Dwelling Fire Program,DF,TX,"$165,000","$1,068","$1,068","$1,068",$0,"$2,500"
2018,POL-000109,Crestline Dwelling Fire Program,DF,TX,"$155,000","$1,080",$953,"$1,080",$0,"$5,000"
2018,POL-000110,Crestline Dwelling Fire Program,DF,CA,"$355,000","$1,414","$1,414","$1,414",$0,"$1,000"
2018,POL-000111,Crestline Dwelling Fire Program,DF,FL,"$575,000","$1,362","$1,362","$1,362",$0,"$2,500"
2018,POL-000112,Crestline Dwelling Fire Program,DF,GA,"$580,000",$953,$953,$953,$0,"$2,500"
2018,POL-000113,Crestline Dwelling Fire Program,DF,FL,"$240,000","$1,112","$1,112","$1,112",$0,"$1,000"
2018,POL-000114,Crestline Dwelling Fire Program,DF,TX,"$555,000",$897,$757,$897,$0,"$1,000"
2018,POL-000115,Crestline Dwelling Fire Program,DF,GA,"$445,000","$1,386","$1,214","$1,386",$0,"$1,000"
2018,POL-000116,Crestline Dwelling Fire Program,DF,NV,"$315,000","$1,358","$1,358","$1,358",$0,"$2,500"
2018,POL-000117,Crestline Dwelling Fire Program,DF,NV,"$265,000",$977,$977,$977,$0,"$1,000"
2018,POL-000118,Crestline Dwelling Fire Program,DF,NV,"$390,000","$1,204","$1,204","$1,204",$0,"$2,500"
2018,POL-000119,Crestline Dwelling Fire Program,DF,FL,"$160,000","$1,184","$1,043","$1,184",$0,"$5,000"
2018,POL-000120,Crestline Dwelling Fire Program,DF,GA,"$190,000",$880,$880,$880,$0,"$1,000"
2018,POL-000121,Crestline Dwelling Fire Program,DF,CA,"$220,000","$1,286","$1,286","$1,286",$0,"$2,500"
2018,POL-000122,Crestline Dwelling Fire Program,DF,AZ,"$180,000","$1,138","$1,138","$1,138",$0,"$5,000"
2018,POL-000123,Crestline Dwelling Fire Program,DF,GA,"$515,000","$1,297","$1,297","$1,297",$0,"$5,000"
2018,POL-000124,Crestline Dwelling Fire Program,DF,TX,"$470,000","$1,131","$1,131","$1,131",$0,"$1,000"
2018,POL-000125,Crestline Dwelling Fire Program,DF,CA,"$540,000",$778,$778,$778,$0,"$2,500"
2018,POL-000126,Crestline Dwelling Fire Program,DF,AZ,"$165,000",$994,$994,$994,$0,"$1,000"
2018,POL-000127,Crestline Dwelling Fire Program,DF,TX,"$215,000",$791,$791,$791,$0,"$5,000"
2018,POL-000128,Crestline Dwelling Fire Program,DF,CA,"$230,000","$1,397","$1,397","$1,397",$0,"$5,000"
2018,POL-000129,Crestline Dwelling Fire Program,DF,FL,"$445,000","$1,364","$1,364","$1,364",$0,"$1,000"
2018,POL-000130,Crestline Dwelling Fire Program,DF,CA,"$275,000","$1,332","$1,332","$1,332",$0,"$2,500"
2018,POL-000131,Crestline Dwelling Fire Program,DF,AZ,"$370,000",$983,$983,$983,$0,"$5,000"
2018,POL-000132,Crestline Dwelling Fire Program,DF,GA,"$270,000",$817,$817,$817,$0,"$2,500"
2018,POL-000133,Crestline Dwelling Fire Program,DF,NV,"$265,000","$1,363","$1,363","$1,363",$0,"$5,000"
2018,POL-000134,Crestline Dwelling Fire Program,DF,NV,"$575,000","$1,409","$1,409","$1,409",$0,"$2,500"
2018,POL-000135,Crestline Dwelling Fire Program,DF,GA,"$530,000",$835,$835,$835,$0,"$2,500"
2018,POL-000136,Crestline Dwelling Fire Program,DF,TX,"$475,000","$1,102","$1,102","$1,102",$0,"$5,000"
2018,POL-000137,Crestline Dwelling Fire Program,DF,CA,"$190,000",$824,$824,$824,$0,"$2,500"
2018,POL-000138,Crestline Dwelling Fire Program,DF,CA,"$210,000","$1,285","$1,111","$1,285",$0,"$2,500"
2018,POL-000139,Crestline Dwelling Fire Program,DF,FL,"$245,000","$1,289","$1,289","$1,289",$0,"$5,000"
2018,POL-000140,Crestline Dwelling Fire Program,DF,GA,"$275,000",$863,$863,$863,$0,"$2,500"
2018,POL-000141,Crestline Dwelling Fire Program,DF,CA,"$385,000","$1,095",$920,"$1,095",$0,"$1,000"
2018,POL-000142,Crestline Dwelling Fire Program,DF,CA,"$330,000","$1,144","$1,144","$1,144",$0,"$2,500"
2018,POL-000143,Crestline Dwelling Fire Program,DF,TX,"$335,000",$955,$955,$955,$0,"$5,000"
2018,POL-000144,Crestline Dwelling Fire Program,DF,TX,"$495,000","$1,360","$1,360","$1,360",$0,"$2,500"
2018,POL-000145,Crestline Dwelling Fire Program,DF,CA,"$255,000","$1,060","$1,060","$1,060",$0,"$5,000"
2018,POL-000146,Crestline Dwelling Fire Program,DF,CA,"$355,000",$919,$919,$919,$0,"$1,000"
2018,POL-000147,Crestline Dwelling Fire Program,DF,CA,"$200,000","$1,137","$1,137","$1,137",$0,"$1,000"
2018,POL-000148,Crestline Dwelling Fire Program,DF,NV,"$335,000","$1,265","$1,265","$1,265",$0,"$5,000"
2018,POL-000149,Crestline Dwelling Fire Program,DF,CA,"$485,000",$912,$912,$912,$0,"$2,500"
2018,POL-000150,Crestline Dwelling Fire Program,DF,AZ,"$500,000",$986,$986,$986,$0,"$1,000"
2018,POL-000151,Crestline Dwelling Fire Program,DF,AZ,"$190,000","$1,441","$1,441","$1,441",$0,"$5,000"
2018,POL-000152,Crestline Dwelling Fire Program,DF,TX,"$285,000","$1,211","$1,211","$1,211",$0,"$1,000"
2018,POL-000153,Crestline Dwelling Fire Program,DF,CA,"$475,000","$1,070","$1,070","$1,070",$0,"$1,000"
2018,POL-000154,Crestline Dwelling Fire Program,DF,CA,"$250,000","$1,123","$1,123","$1,123",$0,"$5,000"
2018,POL-000155,Crestline Dwelling Fire Program,DF,FL,"$310,000",$859,$859,$859,$0,"$5,000"
2018,POL-000156,Crestline Dwelling Fire Program,DF,TX,"$425,000",$928,$928,$928,$0,"$1,000"
2018,POL-000157,Crestline Dwelling Fire Program,DF,AZ,"$150,000","$1,003","$1,003","$1,003",$0,"$1,000"
2018,POL-000158,Crestline Dwelling Fire Program,DF,CA,"$280,000","$1,170","$1,170","$1,170",$0,"$1,000"
2018,POL-000159,Crestline Dwelling Fire Program,DF,GA,"$175,000",$931,$931,$931,$0,"$2,500"
2018,POL-000160,Crestline Dwelling Fire Program,DF,TX,"$405,000",$925,$925,$925,$0,"$5,000"
2018,POL-000161,Crestline Dwelling Fire Program,DF,CA,"$475,000",$825,$825,$825,$0,"$1,000"
2018,POL-000162,Crestline Dwelling Fire Program,DF,CA,"$500,000","$1,199","$1,199","$1,199",$0,"$2,500"
2018,POL-000163,Crestline Dwelling Fire Program,DF,FL,"$310,000",$931,$931,$931,$0,"$1,000"
2018,POL-000164,Crestline Dwelling Fire Program,DF,TX,"$455,000","$1,382","$1,382","$1,382",$0,"$2,500"
2018,POL-000165,Crestline Dwelling Fire Program,DF,TX,"$480,000","$1,351","$1,351","$1,351",$0,"$2,500"
2018,POL-000166,Crestline Dwelling Fire Program,DF,GA,"$575,000",$825,$825,$825,$0,"$2,500"
2018,POL-000167,Crestline Dwelling Fire Program,DF,AZ,"$365,000",$937,$937,$937,$0,"$5,000"
2018,POL-000168,Crestline Dwelling Fire Program,DF,CA,"$390,000","$1,224","$1,224","$1,224",$0,"$1,000"
2018,POL-000169,Crestline Dwelling Fire Program,DF,CA,"$430,000",$921,$921,$921,$0,"$5,000"
2018,POL-000170,Crestline Dwelling Fire Program,DF,NV,"$205,000",$866,$866,$866,$0,"$2,500"
2018,POL-000171,Crestline Dwelling Fire Program,DF,TX,"$165,000","$1,402","$1,402","$1,402",$0,"$5,000"
2018,POL-000172,Crestline Dwelling Fire Program,DF,TX,"$405,000","$1,159","$1,159","$1,159",$0,"$1,000"
2018,POL-000173,Crestline Dwelling Fire Program,DF,AZ,"$325,000","$1,093","$1,093","$1,093",$0,"$1,000"
2018,POL-000174,Crestline Dwelling Fire Program,DF,CA,"$435,000","$1,301","$1,301","$1,301",$0,"$5,000"
2018,POL-000175,Crestline Dwelling Fire Program,DF,TX,"$235,000","$1,316","$1,316","$1,316",$0,"$5,000"
2018,POL-000176,Crestline Dwelling Fire Program,DF,FL,"$235,000",$905,$905,$905,$0,"$5,000"
2018,POL-000177,Crestline Dwelling Fire Program,DF,CA,"$530,000",$843,$843,$843,$0,"$1,000"
2018,POL-000178,Crestline Dwelling Fire Program,DF,GA,"$360,000","$1,065","$1,065","$1,065",$0,"$2,500"
2018,POL-000179,Crestline Dwelling Fire Program,DF,CA,"$310,000","$1,060","$1,060","$1,060",$0,"$1,000"
2018,POL-000180,Crestline Dwelling Fire Program,DF,TX,"$185,000","$1,089","$1,089","$1,089",$0,"$2,500"
2018,POL-000181,Crestline Dwelling Fire Program,DF,NV,"$370,000","$1,264","$1,264","$1,264",$0,"$2,500"
2018,POL-000182,Crestline Dwelling Fire Program,DF,CA,"$365,000","$1,227","$1,227","$1,227",$0,"$2,500"
2018,POL-000183,Crestline Dwelling Fire Program,DF,TX,"$490,000","$1,434","$1,434","$1,434",$0,"$1,000"
2018,POL-000184,Crestline Dwelling Fire Program,DF,TX,"$245,000",$843,$843,$843,$0,"$1,000"
2018,POL-000185,Crestline Dwelling Fire Program,DF,CA,"$310,000","$1,046","$1,046","$1,046",$0,"$1,000"
2018,POL-000186,Crestline Dwelling Fire Program,DF,NV,"$210,000","$1,004","$1,004","$1,004",$0,"$5,000"
2018,POL-000187,Crestline Dwelling Fire Program,DF,CA,"$350,000","$1,353","$1,353","$1,353",$0,"$2,500"
2018,POL-001124,Crestline Homeowners Protection Program,HO,NV,"$440,000","$1,145","$1,145","$1,145",$0,"$2,500"
2018,POL-001125,Crestline Homeowners Protection Program,HO,TX,"$225,000","$1,143","$1,143","$1,143",$0,"$5,000"
2018,POL-001126,Crestline Homeowners Protection Program,HO,CA,"$365,000","$1,233","$1,233","$1,233",$0,"$1,000"
2018,POL-001127,Crestline Homeowners Protection Program,HO,CA,"$405,000","$1,041","$1,041","$1,041",$0,"$2,500"
2018,POL-001128,Crestline Homeowners Protection Program,HO,TX,"$205,000",$842,$842,$842,$0,"$1,000"
2018,POL-001129,Crestline Homeowners Protection Program,HO,FL,"$470,000",$780,$780,$780,$0,"$1,000"
2018,POL-001130,Crestline Homeowners Protection Program,HO,FL,"$470,000",$980,$980,$980,$0,"$5,000"
2018,POL-001131,Crestline Homeowners Protection Program,HO,TX,"$230,000","$1,293","$1,293","$1,293",$0,"$2,500"
2018,POL-001132,Crestline Homeowners Protection Program,HO,FL,"$255,000","$1,173","$1,173","$1,173",$0,"$5,000"
2018,POL-001133,Crestline Homeowners Protection Program,HO,CA,"$200,000","$1,313","$1,313","$1,313",$0,"$5,000"
2018,POL-001134,Crestline Homeowners Protection Program,HO,CA,"$420,000","$1,371","$1,371","$1,371",$0,"$5,000"
2018,POL-001135,Crestline Homeowners Protection Program,HO,FL,"$385,000",$824,$824,$824,$0,"$5,000"
2018,POL-001136,Crestline Homeowners Protection Program,HO,FL,"$475,000","$1,321","$1,321","$1,321",$0,"$2,500"
2018,POL-001137,Crestline Homeowners Protection Program,HO,TX,"$235,000",$926,$926,$926,$0,"$5,000"
2018,POL-001138,Crestline Homeowners Protection Program,HO,FL,"$430,000","$1,153",$999,"$1,153",$0,"$5,000"
2018,POL-001139,Crestline Homeowners Protection Program,HO,AZ,"$205,000","$1,111",$963,"$1,111",$0,"$1,000"
2018,POL-001140,Crestline Homeowners Protection Program,HO,FL,"$610,000","$1,026","$1,026","$1,026",$0,"$1,000"
2018,POL-001141,Crestline Homeowners Protection Program,HO,AZ,"$190,000",$970,$970,$970,$0,"$2,500"
2018,POL-001142,Crestline Homeowners Protection Program,HO,TX,"$285,000",$990,$990,$990,$0,"$5,000"
2018,POL-001143,Crestline Homeowners Protection Program,HO,NV,"$250,000",$985,$985,$985,$0,"$1,000"
2018,POL-001144,Crestline Homeowners Protection Program,HO,TX,"$380,000",$877,$877,$877,$0,"$1,000"
2018,POL-001145,Crestline Homeowners Protection Program,HO,FL,"$365,000","$1,102",$971,"$1,102",$0,"$5,000"
2018,POL-001146,Crestline Homeowners Protection Program,HO,FL,"$475,000",$841,$841,$841,$0,"$1,000"
2018,POL-001147,Crestline Homeowners Protection Program,HO,AZ,"$290,000","$1,101",$939,"$1,101",$0,"$2,500"
2018,POL-001148,Crestline Homeowners Protection Program,HO,NV,"$245,000","$1,362","$1,362","$1,362",$0,"$2,500"
2018,POL-001149,Crestline Homeowners Protection Program,HO,CA,"$600,000",$996,$996,$996,$0,"$2,500"
2018,POL-001150,Crestline Homeowners Protection Program,HO,FL,"$410,000","$1,244","$1,244","$1,244",$0,"$5,000"
2018,POL-001151,Crestline Homeowners Protection Program,HO,NV,"$320,000","$1,304","$1,304","$1,304",$0,"$5,000"
2018,POL-001152,Crestline Homeowners Protection Program,HO,FL,"$570,000","$1,302","$1,302","$1,302",$0,"$1,000"
2018,POL-001153,Crestline Homeowners Protection Program,HO,CA,"$300,000",$922,$922,$922,$0,"$1,000"
2018,POL-001154,Crestline Homeowners Protection Program,HO,CA,"$535,000",$863,$863,$863,$0,"$1,000"
2018,POL-001155,Crestline Homeowners Protection Program,HO,FL,"$520,000",$896,$896,$896,$0,"$2,500"
2018,POL-001156,Crestline Homeowners Protection Program,HO,FL,"$225,000","$1,162","$1,162","$1,162",$0,"$5,000"
2018,POL-001157,Crestline Homeowners Protection Program,HO,CA,"$400,000","$1,266","$1,266","$1,266",$0,"$1,000"
2018,POL-001158,Crestline Homeowners Protection Program,HO,FL,"$575,000","$1,197","$1,197","$1,197",$0,"$1,000"
2018,POL-001159,Crestline Homeowners Protection Program,HO,AZ,"$330,000",$883,$883,$883,$0,"$5,000"
2018,POL-001160,Crestline Homeowners Protection Program,HO,AZ,"$445,000","$1,274","$1,274","$1,274",$0,"$2,500"
2018,POL-001161,Crestline Homeowners Protection Program,HO,AZ,"$265,000","$1,091","$1,091","$1,091",$0,"$5,000"
2018,POL-001162,Crestline Homeowners Protection Program,HO,TX,"$565,000","$1,262","$1,262","$1,262",$0,"$2,500"
2018,POL-001163,Crestline Homeowners Protection Program,HO,TX,"$500,000","$1,266","$1,266","$1,266",$0,"$2,500"
2018,POL-001164,Crestline Homeowners Protection Program,HO,CA,"$530,000","$1,061","$1,061","$1,061",$0,"$1,000"
2018,POL-001165,Crestline Homeowners Protection Program,HO,FL,"$185,000","$1,374","$1,219","$1,374",$0,"$2,500"
2018,POL-001166,Crestline Homeowners Protection Program,HO,TX,"$525,000","$1,137","$1,137","$1,137",$0,"$5,000"
2018,POL-001167,Crestline Homeowners Protection Program,HO,NV,"$395,000","$1,184","$1,184","$1,184",$0,"$5,000"
2018,POL-001168,Crestline Homeowners Protection Program,HO,TX,"$335,000","$1,177","$1,177","$1,177",$0,"$5,000"
